#Release 10.1 - par K.31 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Wed Nov 18 15:13:05 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TOP_map.ncd
#OUTPUT FILE:      TOP_pad.csv
#PART TYPE:        xc2v1000
#SPEED GRADE:      -4
#PACKAGE:          fg456
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
M7,,,VCCO_6,,,6,,,,,3.30,,,,,
M9,,,GND,,,,,,,,,,,,,
M10,,,GND,,,,,,,,,,,,,
M11,,,GND,,,,,,,,,,,,,
M12,,,GND,,,,,,,,,,,,,
M13,,,GND,,,,,,,,,,,,,
M14,,,GND,,,,,,,,,,,,,
M16,,,VCCO_3,,,3,,,,,3.30,,,,,
M17,do<15>,IOB,IO_L93N_3/VREF_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M18,do<17>,IOB,IO_L94P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M19,do<16>,IOB,IO_L94N_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
M20,rs485_232_b,IOB,IO_L96P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
M21,,DIFFS,IO_L96N_3,UNUSED,,3,,,,,,,,,,
M22,,,VCCAUX,,,,,,,,3.3,,,,,
N1,di<29>,IOB,IO_L91N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
N2,di<27>,IOB,IO_L91P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
N3,di<26>,IOB,IO_L54N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
N4,di<25>,IOB,IO_L54P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
N5,di<24>,IOB,IO_L52N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
N6,,DIFFM,IO_L52P_6,UNUSED,,6,,,,,,,,,,
N7,,,VCCO_6,,,6,,,,,3.30,,,,,
N9,,,GND,,,,,,,,,,,,,
N10,,,GND,,,,,,,,,,,,,
N11,,,GND,,,,,,,,,,,,,
N12,,,GND,,,,,,,,,,,,,
N13,,,GND,,,,,,,,,,,,,
N14,,,GND,,,,,,,,,,,,,
N16,,,VCCO_3,,,3,,,,,3.30,,,,,
N17,,DIFFM,IO_L93P_3,UNUSED,,3,,,,,,,,,,
N18,do<13>,IOB,IO_L52N_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N19,fast_b,IOB,IO_L54P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N20,hdplx_b,IOB,IO_L54N_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
N21,do<14>,IOB,IO_L91P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
N22,,DIFFS,IO_L91N_3,UNUSED,,3,,,,,,,,,,
P1,dio_e<2>,IOB,IO_L51N_6/VREF_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P2,dio_e<3>,IOB,IO_L51P_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P3,di<21>,IOB,IO_L49N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
P4,di<23>,IOB,IO_L49P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
P5,di<22>,IOB,IO_L48N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
P6,,DIFFM,IO_L48P_6,UNUSED,,6,,,,,,,,,,
P7,,,VCCO_6,,,6,,,,,3.30,,,,,
P9,,,GND,,,,,,,,,,,,,
P10,,,GND,,,,,,,,,,,,,
P11,,,GND,,,,,,,,,,,,,
P12,,,GND,,,,,,,,,,,,,
P13,,,GND,,,,,,,,,,,,,
P14,,,GND,,,,,,,,,,,,,
P16,,,VCCO_3,,,3,,,,,3.30,,,,,
P17,,DIFFM,IO_L45P_3,UNUSED,,3,,,,,,,,,,
P18,do<9>,IOB,IO_L52P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P19,dio_f<7>,IOB,IO_L49P_3,TRISTATE,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P20,dio_f<6>,IOB,IO_L49N_3,TRISTATE,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P21,do<11>,IOB,IO_L51P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
P22,do<12>,IOB,IO_L51N_3/VREF_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R1,dio_e<4>,IOB,IO_L46N_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R2,dio_e<5>,IOB,IO_L46P_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R3,,DIFFS,IO_L45N_6/VREF_6,UNUSED,,6,,,,,,,,,,
R4,di<19>,IOB,IO_L45P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
R5,dio_e<6>,IOB,IO_L22N_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
R6,,,VCCO_6,,,6,,,,,3.30,,,,,
R7,,,VCCINT,,,,,,,,1.5,,,,,
R16,,,VCCINT,,,,,,,,1.5,,,,,
R17,,,VCCO_3,,,3,,,,,3.30,,,,,
R18,do<6>,IOB,IO_L45N_3/VREF_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R19,do<8>,IOB,IO_L46P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
R20,,DIFFS,IO_L46N_3,UNUSED,,3,,,,,,,,,,
R21,,DIFFM,IO_L48P_3,UNUSED,,3,,,,,,,,,,
R22,do<10>,IOB,IO_L48N_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
T1,di<20>,IOB,IO_L43N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
T2,di<18>,IOB,IO_L43P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
T3,di<14>,IOB,IO_L24N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
T4,di<13>,IOB,IO_L24P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
T5,dio_e<7>,IOB,IO_L22P_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
T6,,,VCCO_6,,,6,,,,,3.30,,,,,
T7,,,VCCINT,,,,,,,,1.5,,,,,
T8,,,VCCINT,,,,,,,,1.5,,,,,
T9,,,VCCO_5,,,5,,,,,3.30,,,,,
T10,,,VCCO_5,,,5,,,,,3.30,,,,,
T11,,,VCCO_5,,,5,,,,,3.30,,,,,
T12,,,VCCO_4,,,4,,,,,3.30,,,,,
T13,,,VCCO_4,,,4,,,,,3.30,,,,,
T14,,,VCCO_4,,,4,,,,,3.30,,,,,
T15,,,VCCINT,,,,,,,,1.5,,,,,
T16,,,VCCINT,,,,,,,,1.5,,,,,
T17,,,VCCO_3,,,3,,,,,3.30,,,,,
T18,do<1>,IOB,IO_L19N_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
T19,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,,
T20,do<4>,IOB,IO_L24N_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
T21,do<5>,IOB,IO_L43P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
T22,,DIFFS,IO_L43N_3,UNUSED,,3,,,,,,,,,,
U1,di<17>,IOB,IO_L21N_6/VREF_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
U2,di<15>,IOB,IO_L21P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
U3,,DIFFS,IO_L06N_6,UNUSED,,6,,,,,,,,,,
U4,di<9>,IOB,IO_L06P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
U5,,DIFFS,IO_L01N_6,UNUSED,,6,,,,,,,,,,
U6,,,VCCINT,,,,,,,,1.5,,,,,
U7,,,VCCO_5,,,5,,,,,3.30,,,,,
U8,,,VCCO_5,,,5,,,,,3.30,,,,,
U9,,DIFFS,IO_L24N_5,UNUSED,,5,,,,,,,,,,
U10,,DIFFM,IO_L94P_5/VREF_5,UNUSED,,5,,,,,,,,,,
U11,dif_ae<2>,IOB,IO_L94N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
U12,dio_f<12>,IOB,IO_L94N_4/VREF_4,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
U13,,DIFFS,IO_L91N_4/VREF_4,UNUSED,,4,,,,,,,,,,
U14,,DIFFS,IO_L51N_4,UNUSED,,4,,,,,,,,,,
U15,,,VCCO_4,,,4,,,,,3.30,,,,,
U16,,,VCCO_4,,,4,,,,,3.30,,,,,
U17,,,VCCINT,,,,,,,,1.5,,,,,
U18,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,,
U19,do<0>,IOB,IO_L21P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
U20,,DIFFS,IO_L21N_3/VREF_3,UNUSED,,3,,,,,,,,,,
U21,do<3>,IOB,IO_L22P_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
U22,do<7>,IOB,IO_L22N_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
V1,di<16>,IOB,IO_L19N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
V2,di<11>,IOB,IO_L19P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
V3,dio_e<8>,IOB,IO_L03N_6/VREF_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V4,dio_e<9>,IOB,IO_L03P_6,TRISTATE,LVTTL*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V5,,DIFFM,IO_L01P_6,UNUSED,,6,,,,,,,,,,
V6,,DIFFM,IO_L05P_5/VRN_5,UNUSED,,5,,,,,,,,,,
V7,di<6>,IOB,IO_L05N_5/VRP_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
V8,di<0>,IOB,IO_L24P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
V9,,DIFFM,IO_L91P_5/VREF_5,UNUSED,,5,,,,,,,,,,
V10,dif_ef<2>,IOB,IO_L91N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
V11,,DIFFM,IO_L95P_5/GCLK4P,UNUSED,,5,,,,,,,,,,
V12,dio_f<13>,IOB,IO_L94P_4,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V13,dif_oen<3>,IOB,IO_L91P_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
V14,dif_oen<5>,IOB,IO_L51P_4/VREF_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
V15,,DIFFM,IO_L19P_4,UNUSED,,4,,,,,,,,,,
V16,,DIFFS,IO_L19N_4,UNUSED,,4,,,,,,,,,,
V17,vpd<1>,IOB,IO_L02P_4/D1,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V18,vpd<0>,IOB,IO_L02N_4/D0,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V19,,DIFFM,IO_L04P_3,UNUSED,,3,,,,,,,,,,
V20,,DIFFS,IO_L04N_3,UNUSED,,3,,,,,,,,,,
V21,dio_f<9>,IOB,IO_L06P_3,TRISTATE,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
V22,dio_f<8>,IOB,IO_L06N_3,TRISTATE,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W1,di<12>,IOB,IO_L04N_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
W2,di<8>,IOB,IO_L04P_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
W3,,,M1,,,,,,,,,,,,,
W4,,,GND,,,,,,,,,,,,,
W5,vpd<5>,IOB,IO_L03P_5/D5/ALT_VRN_5,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W6,di<4>,IOB,IO_L06P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
W7,dif_ren<2>,IOB,IO_L21P_5,OUTPUT,LVTTL*,5,8,FAST,NONE**,,,LOCATED,,YES,NONE,
W8,dif_ren<3>,IOB,IO_L49P_5,OUTPUT,LVTTL*,5,8,FAST,NONE**,,,LOCATED,,NO,NONE,
W9,dio_e<11>,IOB,IO_L52P_5,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W10,,DIFFM,IO_L92P_5,UNUSED,,5,,,,,,,,,,
W11,dif_ae<1>,IOB,IO_L95N_5/GCLK5S,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
W12,,DIFFS,IO_L95N_4/GCLK3S,UNUSED,,4,,,,,,,,,,
W13,,DIFFS,IO_L92N_4,UNUSED,,4,,,,,,,,,,
W14,dif_oen<4>,IOB,IO_L52N_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
W15,dof_wen<1>,IOB,IO_L24N_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
W16,,DIFFS,IO_L21N_4,UNUSED,,4,,,,,,,,,,
W17,dof_wen<3>,IOB,IO_L05N_4/VRP_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
W18,vpd<2>,IOB,IO_L03N_4/D2/ALT_VRP_4,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
W19,,,GND,,,,,,,,,,,,,
W20,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,,
W21,,DIFFM,IO_L03P_3,UNUSED,,3,,,,,,,,,,
W22,do<2>,IOB,IO_L03N_3/VREF_3,OUTPUT,LVTTL*,3,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
Y1,di<10>,IOB,IO_L02N_6/VRP_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
Y2,di<7>,IOB,IO_L02P_6/VRN_6,INPUT,LVTTL*,6,,,,NONE,,LOCATED,,YES,NONE,
Y3,,,GND,,,,,,,,,,,,,
Y4,vwrite,IOB,IO_L01N_5/RDWR_B,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
Y5,vpd<4>,IOB,IO_L03N_5/D4/ALT_VRP_5,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y6,di<5>,IOB,IO_L06N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
Y7,di<3>,IOB,IO_L21N_5/VREF_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,YES,NONE,
Y8,dif_ren<4>,IOB,IO_L49N_5,OUTPUT,LVTTL*,5,8,FAST,NONE**,,,LOCATED,,NO,NONE,
Y9,dio_e<10>,IOB,IO_L52N_5,TRISTATE,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y10,,DIFFS,IO_L92N_5,UNUSED,,5,,,,,,,,,,
Y11,diclk,IOB,IO_L96P_5/GCLK6P,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
Y12,,DIFFM,IO_L95P_4/GCLK2P,UNUSED,,4,,,,,,,,,,
Y13,dif_oen<2>,IOB,IO_L92P_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
Y14,dof_wen<0>,IOB,IO_L52P_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,YES,NONE,
Y15,dof_wen<5>,IOB,IO_L24P_4,OUTPUT,LVTTL*,4,8,FAST,NONE**,,,LOCATED,,NO,NONE,
Y16,,DIFFM,IO_L21P_4/VREF_4,UNUSED,,4,,,,,,,,,,
Y17,,DIFFM,IO_L05P_4/VRN_4,UNUSED,,4,,,,,,,,,,
Y18,vpd<3>,IOB,IO_L03P_4/D3/ALT_VRN_4,TRISTATE,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
Y19,,,CCLK,,,,,,,,,,,,,
Y20,,,GND,,,,,,,,,,,,,
Y21,,DIFFM,IO_L02P_3/VRN_3,UNUSED,,3,,,,,,,,,,
Y22,,DIFFS,IO_L02N_3/VRP_3,UNUSED,,3,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
